modern,original
"If I were you with eyes and a tongue to speak with , I'd crack heaven wide open with my laments !","Had I your tongues and eyes , I'd use them so That heaven's vault should crack ."
"The pig or the mighty or the huge or the magnanimous , they all mean the same thing , with some variation .","The pig , or the great , or the mighty , or the huge , or the magnanimous are all one reckonings , save the phrase is a little variations ."
Has it come to this ?,Is 't come to this ?
Caesar wouldn't take the crown .,He would not take the crown .
Go to him from me .,Go you to him from me .
Play the kind of music that puts people to sleep .,Music such as charmeth sleep !
And then ?,And then ?
"That's true , that's very true .","Nay , that's true , that's very true ."
Come forward and speak .,Approach and speak .
Why should you fall into so deep a moan ?,Why should you fall into so deep an O ?
We've got some words of wisdom to mull over .,We'll whisper o'er a couplet or two of most sage saws .
"But tell me honestly , are you sure you're not insane ?","But tell me true , are you not mad indeed ?"
"I wish none of this had happened , given the situation here , and your rank .","As the time , the place , and the condition of this country stands , I could heartily wish this had not befallen ."
"Now , I'll swear to the opposite , that the pancakes were rotten , and the mustard was fine , but even so , the knight wasn't lying .","Now , I'll stand to it , the pancakes were naught and the mustard was good , and yet was not the knight forsworn ."
I enjoyed a sweeter rest than sleep .,The sweeter rest was mine .
Ha !,Ha !
I don't think so !,"Why , and I trust I may go too , may I not ?"
"You interpret my words in a melancholy sense , my hearty friends .","My hearty friends , You take me in too dolorous a sense , For I spake to you for your comfort , did desire you To burn this night with torches ."
These are nothing but jealous lies .,These are the forgeries of jealousy .
"Their guilt is finally starting to gnaw at them , like a slow-acting poison .","Their great guilt , Like poison given to work a great time after , Now 'gins to bite the spirits ."
"Go quickly , hurry , to the castle , for I've given orders to have Lear and Cordelia killed .","Quickly send , Be brief in it , to th ' castle , for my writ Is on the life of Lear and on Cordelia ."
"God gives you one face , but you paint another on top of it .",God has given you one face and you make yourselves another .
"According to what I heard , they had no travel plans as of last night .","As I learned , The night before there was no purpose in them Of this remove ."
And here he is .,And here he stands .
"Hang on a minute , here's some money for you .","Hold , sir , here's my purse ."
"May the god of power make me , the weakest of the weak , your mediator .","The Jove of power make me most weak , most weak , Your reconciler !"
Listen to the noble Antony .,Hear the noble Antony .
at these unskilled and crude lines written by your dead lover,these poor rude lines of thy deceased lover
Prepare your troops .,Draw up your powers .
"For God's sake , my lord , let's be sure to be part of the group that meets the prince .","My lord , whoever journeys to the prince , For God's sake let not us two at home ."
"If you ever loved your poor dear father , Oh God !","If thou didst ever thy dear father love , O God !"
"No , Cassius , no .","No , Cassius , no ."
You don't know how to pick a man .,You know not how to choose a man .
There's more to this ring than its cash value .,There's more depends on this than on the value .
What about you ?,What are you ?
It may be so .,So may it be indeed .
"Tonight I received a letter from my sister telling me all about them , and warning me not be at home in case they come to stay at my house .","I have this present evening from my sister Been well informed of them , and with such cautions That if they come to sojourn at my house I'll not be there ."
Calm down .,Be collected .
Now I have to go find some dewdrops and hang a pearl earring on every cowslip flower .,I must go seek some dewdrops here And hang a pearl in every cowslip's ear .
Who are these men ?,What are these faces ?
"Now , Antony , our prayers have been answered .","Now , Antony , our hopes are answered ."
I'll go and chat with Paris .,I'll go and chat with Paris .
"Come on , tie them up .","Let him write down the Prince's officer ""coxcomb."" Come , bind them. , Thou naughty varlet !"
And what is this useless ceremony of kings ?,"And what art thou , thou idol ceremony ?"
"Whatever kind you want , I guess .","Why , what you will ."
Did you find my daughter ?,Hast thou found my daughter ?
"I don't feel so well , but I won't stop .","I am not so well as I should be , but I'll ne'er out ."
I can't hide what I am .,I can not hide what I am .
Won't you tell me who told you that ?,Will you not tell me who told you so ?
Let him mount the pulpit .,Let him go up into the public chair .
There is a man who loves you better than your husband could .,He lives that loves thee better than he could .
"Ah , how pitiful !","Alack , for mercy !"
Is that possible ?,Is 't possible ?
"Yes , sir , we hope so .","Yea , sir , we hope ."
And didn't I finally arrive to comfort you ?,And came I not at last to comfort you ?
"Her body sleeps in the Capulet tomb , and her immortal soul lives with the angels in heaven .","Her body sleeps in Capels ' monument , And her immortal part with angels lives ."
"Take that , and that .","Take that , and that ."
"She can't even imagine what ""love"" is .",She can not love Nor take no shape nor project of affection She is so self-endeared .
"Insolent Oh , the good gods !","Oh , the good gods !"
